name,lat,lon,population
Ardo Rumeila,11.984674,14.638743,2500
Oumoua,9.46866,13.67434,2500
Bakakte,4.893918,9.876073,2500
Néméyong II,2.930103,13.503035,2500
Goubeo,10.578905,14.219871,2500
Mimbo,2.994955,11.958666,2500
Niamanga I,4.347453,11.125019,2500
Engom II,2.85817,11.049544,2500
Abouta,2.673452,11.072722,2500
Angalé,2.843767,10.085835,2500
Messam,4.328508,11.417409,2500
Nkhodeuni,11.400998,15.00751,2500
Ngoura,6.74502,14.481354,2500
Mbembesso,4.194423,14.734693,2500
Lamoudan,8.971013,13.529538,2500
Biyan,2.496137,10.794981,2500
Madjer Malia,7.432541,13.738883,2500
Mwamékolo,3.481033,14.866523,2500
Meguege,10.71653,13.87153,2500
Ekali II,3.62988,11.543803,2500
Nkolbéga,4.060166,11.470156,2500
Yanebot II,2.371552,14.105121,2500
Boudfedem,10.67488,14.25784,2500
Sangalé,4.17238,14.817691,2500
Miang II,3.947479,13.258651,2500
Tambadjam,10.4658,14.0234,2500
Nkokbang Matin,4.926691,10.299477,2500
Mukunda,4.046813,9.164351,2500
Kebeng,10.38546,14.0064,2500
Allogène III,4.257335,11.19288,2500
Metyikpwale,2.853456,11.491557,2500
Sa,6.611902,10.769599,2500
Bité,2.516763,13.410634,2500
Bilangue,4.194952,10.984824,2500
Oveng,3.034204,11.723024,2500
Bia,11.1684,14.0914,2500
Bassolo,4.488363,11.22102,2500
Guéfigue,4.563402,11.220602,2500
Tohoti,6.071632,10.588457,2500
Goufan,4.653561,11.25082,2500
Mosongosele Ngolo,4.799909,8.96999,2500
Oyem,3.415469,12.537611,2500
Ngoki,4.191241,9.730956,2500
Nassak,4.390539,11.069353,2500
Boumedje Gra_1,8.95056,13.39989,2500
Korayel,10.170277,13.93222,2500
Mefane,2.903191,10.559048,2500
Zombi Mahaba,6.589996,12.570001,2500
Dota,6.963475,14.946756,2500
Fogom_2,10.74517,14.0028,2500
Kafkaye,10.244566,13.797176,2500
Mokoupok,6.205814,11.391746,2500
Mordok,10.20252,14.07953,2500
Mpong,4.216773,11.193065,2500
Katola Haoussa,12.797384,14.54414,2500
Ekonong,3.224861,11.607293,2500
Missilia,10.18836,14.14235,2500
Maelho,4.568985,11.409326,2500
Ndziefidi,3.222398,11.535673,2500
Manta,6.139516,10.112325,2500
Maakouop,5.557593,10.64597,2500
Boumba,8.48013,13.36983,2500
Sadong,9.96211,14.66992,2500
Nkolngok,3.417529,11.297285,2500
Ebengon,2.21798,11.186811,2500
Adjou'ou,2.271335,11.368739,2500
Nkolebityé,2.873249,11.3837,2500
Makwopchichi,5.004267,10.907506,2500
Djala,11.158001,14.322933,2500
Louggol,10.494015,14.255361,2500
Kabela,11.956139,15.042075,2500
Bounbou,8.96764,14.22731,2500
Megom,5.442822,10.41436,2500
Mbissa,6.628941,10.553027,2500
Kishi,6.219416,10.717409,2500
Nkoum,4.164265,13.293463,2500
Bangué,4.108029,14.52213,2500
Bitso'omam,3.124918,13.614836,2500
Song-Adjanga,4.419603,11.324034,2500
Nkolébé,4.272455,11.266926,2500
Tombi,3.703784,15.133766,2500
Foufeke,7.502127,13.359031,2500
Koptchou II,5.516704,10.507662,2500
Bardouki,10.19984,14.89414,2500
Mouskaté,11.84929,14.982541,2500
Gaban,10.2333,14.55,2500
Soulkandou,9.733006,13.850573,2500
Bindjen II,4.748571,10.287072,2500
Oloumsang,4.260275,11.320695,2500
Loumdi,2.889231,9.966584,2500
Chefferie de Ouro Kessoum,9.388975,13.501493,2500
Badia,10.10225,14.07076,2500
Ntale,5.250331,9.572264,2500
Nkolngok,3.767612,11.559693,2500
Wala,4.578003,12.315432,2500
Ouro Hairou,8.55042,13.47884,2500
Fan Bikang I,4.074017,12.77537,2500
Mafa_bacheo,9.667309,13.379507,2500
Lebongla,4.045439,10.948538,2500
Bessoungkang,4.265986,9.742008,2500
Manhounouga,9.94878,14.84546,2500
Borongwé 2,4.337468,14.563655,2500
Yemassi,3.973888,11.281844,2500
Blandjok,3.788667,12.836127,2500
Ndokmbalé,4.730199,10.538509,2500
Houla_fandou,9.55388,14.0198,2500
Kouki,6.160671,10.911939,2500
Gouna,9.98739,14.98075,2500
Kaftaka,10.38257,13.80496,2500
Dabam,10.873508,14.4658,2500
Kocciel,9.355717,12.923775,2500
Ntibonke,3.510776,13.036598,2500
Ekomé,4.32172,11.342733,2500
Mélen,3.529757,11.388391,2500
Bagwale,4.069936,13.122472,2500
Metchet,10.37446,14.343207,2500
Sodalou,9.58904,13.80062,2500
Balatchouet,5.561681,10.381768,2500
Bikpwaé,2.674726,11.286442,2500
Paka,4.148556,15.026618,2500
Ndze,6.10829,10.709706,2500
Nkolékotsing,4.064651,11.17958,2500
Ndikminokon 1,4.356724,10.425114,2500
Nkoufen,5.351659,10.630847,2500
Kondébisse,3.239485,11.711477,2500
Nkolessong,3.963936,11.481642,2500
Mimbanga,4.837364,12.754226,2500
