name,lat,lon,region,division,subdivision
Centre De Santé De L’Espoir,2.94202,11.164019,South,Mvila,Ebolowa II
Centre De Santé De Sainte Pancrace,3.901616,11.561899,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre De Santé Don De Guérison,3.930366,11.54253,Centre,Lekie,YaoundÃ© V
Centre De Santé Hoch,3.882119,11.557071,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre De Santé Integre Barmare,9.29635,13.398298,North,Benoue,Garoua I
Centre De Santé Integre De Foulbere,9.307748,13.402668,North,Benoue,Garoua II
Centre De Santé Integre De Kotta Liddire,9.302874,13.404617,North,Benoue,Garoua II
Centre De Santé Integre De Ngalbidje,9.348413,13.393528,North,Benoue,Garoua II
Centre De Santé Integre De Roumde Adja,9.32799,13.393665,North,Benoue,Garoua II
Centre De Santé Integré De Wouro Mal Hamadou,9.356526,13.365388,North,Benoue,Garoua I
Centre De Santé Intègre De Djamboutou,9.316016,13.345393,North,Benoue,Garoua I
Centre De Santé Intégre De Kollere,9.303472,13.388427,North,Benoue,Garoua I
Centre De Santé Intégré De Garoua Winde,9.270627,13.347493,North,Benoue,Garoua I
Centre De Santé Intégré De Poumpoumré,9.333322,13.41086,North,Benoue,Garoua II
Centre De Santé Intégré De Souari,9.291762,13.392495,North,Benoue,Garoua I
Centre De Santé Intégré De Takasko,9.352753,13.422061,North,Benoue,Garoua II
Centre De Santé Intégré Ouro-kanady,9.303792,13.375262,North,Benoue,Garoua I
Centre De Santé Intégré Saint Maurice,3.885362,11.535543,Centre,Mfoundi,YaoundÃ© V
Centre De Santé Irad,3.86833,11.458148,Centre,Mfoundi,YaoundÃ© VII
Centre De Santé Islamique Albiri,9.316713,13.356012,North,Benoue,Garoua I
Centre De Santé Josepha,3.900665,11.555414,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre De Santé La Roche,3.908969,11.548376,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre De Santé La Vie,3.87195,11.468436,Centre,Lekie,YaoundÃ© VII
Centre De Santé Le Divin,3.907097,11.564982,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre De Santé Le Premier Secours.,3.892965,11.559888,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre De Santé L’Emmergence,2.925686,11.162174,South,Mvila,Ebolowa II
Centre De Santé Main Douce-nhuka,3.866394,11.532665,Centre,Mfoundi,YaoundÃ© V
Centre De Santé Marie Anderson,3.858909,11.45946,Centre,Mfoundi,YaoundÃ© VII
Centre De Santé Martin Luther,9.289243,13.370748,North,Benoue,Garoua I
Centre De Santé Saint Joseph,3.871595,11.464298,Centre,Lekie,YaoundÃ© VII
Centre De Santé Saint Martin D' Etetak Abobo,3.877066,11.480351,Centre,Lekie,YaoundÃ© VII
Centre De Santé Sainte Monique,3.898757,11.567954,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre De Santé Sante Elisabeth,3.83894,11.47339,Centre,Mfoundi,YaoundÃ© VI
Centre De Santé Santé Pour Tous,3.891288,11.558088,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre De Santé Soins Et Préventif D’Ebolowa,2.935787,11.162291,South,Mvila,Ebolowa II
Centre De Santé St Gok-pierre,3.869652,11.537808,Centre,Mfoundi,YaoundÃ© V
Centre De Santé St Joseph,3.871012,11.543974,Centre,Mfoundi,YaoundÃ© V
Centre De Soins Hospitalier Source De Core,3.894579,11.557861,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre De Soins Spécialisés Ste Germaine,3.878938,11.472271,Centre,Lekie,YaoundÃ© VII
Centre De Thérapie Du Langage Orthophonie-logopedie,3.908664,11.540591,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre Hospitalier,4.034064,9.706174,Littoral,Wouri,Douala II
Centre Hospitalier Dominicain,3.860281,11.476904,Centre,Mfoundi,YaoundÃ© VI
Centre Hospitalier Mère-Enfant Deo Gratias,3.89598,11.492265,Centre,Lekie,YaoundÃ© II
Centre Hospitalier Pédiatrique et Gynécologique Nina,3.817227,11.474865,Centre,Mfoundi,YaoundÃ© VI
Centre Hospitalier Régional d'Ebolowa,2.946517,11.120326,South,Mvila,Ebolowa I
Centre Hospitalier Régional de Bertoua,4.584097,13.671342,East,Lom-Et-Djerem,Bertoua I
Centre Hospitalier Universitaire,3.862706,11.496142,Centre,Mfoundi,YaoundÃ© III
Centre Hospitalier chirugical Maloine SARL,3.847555,11.486643,Centre,Mfoundi,YaoundÃ© VI
Centre Hospitalier d'Essos,3.871422,11.532417,Centre,Mfoundi,YaoundÃ© V
Centre Hospitalier de Recherche et d'Application en Chirurgie Endoscopique et Reproduction Humaine,3.905557,11.542201,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre Hôspitalier Régional de Bafoussam,5.486697,10.537194,West,Mifi,Bafoussam I
Centre International De Référence “Chantal Biya”,3.863546,11.497768,Centre,Mfoundi,YaoundÃ© III
Centre Medical,4.040219,9.701983,Littoral,Wouri,Douala II
Centre Medical Islamique de L'union Koumba Bonaberi,4.071048,9.669798,Littoral,Wouri,Douala IV
Centre Medical La Reference Nkolbisson,3.879269,11.458409,Centre,Lekie,YaoundÃ© VII
Centre Medical Saint Esprit,3.878227,11.448379,Centre,Lekie,YaoundÃ© VII
Centre Medical Sainte Bernadette,3.875194,11.531856,Centre,Mfoundi,YaoundÃ© V
